City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
234,Puerto Ayora,EC,-0.74,-90.35,77.0,53,20,18.34,few clouds
235,Guantanamo,CU,20.14,-75.21,91.0,59,75,17.22,shower rain
236,Novo Aripuana,BR,-5.12,-60.38,101.28,21,0,2.71,clear sky
237,Kangaatsiaq,GL,68.31,-53.46,46.76,76,4,2.04,clear sky
238,Ponta Do Sol,PT,32.67,-17.1,77.0,68,0,3.22,clear sky
239,Atasu,KZ,48.68,71.64,62.64,46,100,8.66,overcast clouds
240,East London,ZA,-33.02,27.91,63.55,70,75,5.5,broken clouds
241,Bukoba,TZ,-1.33,31.81,71.6,57,95,4.0,overcast clouds
242,Sobolevo,RU,54.43,31.9,62.78,79,100,10.27,overcast clouds
243,Baiyin,CN,36.56,104.21,60.01,100,0,4.47,clear sky
244,Lompoc,US,34.64,-120.46,73.0,78,20,8.05,few clouds
245,Kruisfontein,ZA,-34.0,24.73,55.0,85,98,5.39,overcast clouds
246,Parrita,CR,9.52,-84.32,73.4,78,75,12.75,broken clouds
247,Trebisacce,IT,39.87,16.53,81.0,57,0,10.0,clear sky
248,Ternate,ID,0.8,127.4,79.38,83,75,2.95,light rain
249,Ulaangom,MN,49.98,92.07,55.63,65,43,3.11,scattered clouds
250,Tazovskiy,RU,67.47,78.7,52.57,91,99,9.93,light rain
251,Saint-Pierre,RE,-21.34,55.48,66.2,72,0,4.7,clear sky
252,Vazante,BR,-17.99,-46.91,78.22,46,36,8.21,scattered clouds
253,Loukhi,RU,66.08,33.04,57.7,90,25,7.56,scattered clouds
254,Mweka,CD,-4.85,21.57,72.19,91,100,2.35,moderate rain
255,Okhotsk,RU,59.38,143.3,44.24,72,17,1.77,few clouds
256,Shadegan,IR,30.65,48.66,93.2,66,0,4.7,clear sky
257,Auki,SB,-8.77,160.7,77.13,87,95,4.34,overcast clouds
258,Honningsvag,NO,70.98,25.97,57.2,82,75,11.41,broken clouds
259,Puerto Rico,AR,-26.8,-55.02,72.28,43,0,5.68,clear sky
260,Bilma,NE,18.69,12.92,93.74,35,1,12.41,light rain
261,Clyde River,CA,70.47,-68.59,42.73,89,100,8.25,overcast clouds
262,Namwala,ZM,-15.75,26.44,66.63,37,0,8.81,clear sky
263,Isla Aguada,MX,18.78,-91.47,86.0,70,75,6.93,broken clouds
264,Kyabe,TD,9.45,18.94,74.21,94,100,3.51,moderate rain
265,Senno,RU,59.53,33.92,60.01,92,97,1.99,overcast clouds
266,Suleja,NG,9.18,7.18,73.27,94,100,1.59,moderate rain
267,San Cristobal,VE,7.77,-72.22,87.8,52,40,17.22,scattered clouds
268,Kamaishi,JP,39.27,141.88,72.1,78,100,3.4,overcast clouds
269,Nome,US,64.5,-165.41,51.8,81,90,9.17,overcast clouds
270,Nanortalik,GL,60.14,-45.24,47.37,78,0,3.71,clear sky
271,Pisco,PE,-13.7,-76.22,64.0,77,75,8.05,broken clouds
272,Pemberton,CA,50.32,-122.8,61.0,67,90,2.24,overcast clouds
273,Hami,CN,42.8,93.45,80.76,22,19,5.86,few clouds
274,Mujiayingzi,CN,42.12,118.78,61.61,90,100,6.15,moderate rain
275,Victor Vlad Delamarina,RO,45.64,21.89,77.0,83,20,10.29,few clouds
276,Narsaq,GL,60.92,-46.05,57.2,54,0,10.29,clear sky
277,Kusti,SD,13.16,32.66,82.72,65,97,10.38,overcast clouds
278,Djenne,ML,13.91,-4.55,84.9,59,53,7.36,broken clouds
279,Mehran,IR,33.12,46.16,75.2,31,0,4.7,clear sky
280,Mutis,CO,6.23,-77.4,81.64,76,66,7.67,light rain
281,Vanimo,PG,-2.67,141.3,77.41,81,100,4.59,light rain
282,Savona,IT,44.3,8.27,79.0,81,0,2.01,clear sky
